APM L1,Measure Names,Opportunity Stage 2 Date - Fiscal Quarter,Measure Values
Marketing,Current FY MDP,Q2,"212,002,682.974394"
Marketing,% YoY,Q2,0.125098454
Marketing,CFY MDP Contribution,Q2,0.306217888
Marketing,Previous FY MDP Contribution,Q2,0.347520121
Marketing,MDP Contr. Diff vs FY-1 (ppts),Q2,-4.130223271
Other,Current FY MDP,Q2,"101,625,022.628574"
Other,% YoY,Q2,-0.071102241
Other,CFY MDP Contribution,Q2,0.335034193
Other,Previous FY MDP Contribution,Q2,0.352026971
Other,MDP Contr. Diff vs FY-1 (ppts),Q2,-1.699277793
Sales,Current FY MDP,Q2,"419,569,452.507942"
Sales,% YoY,Q2,0.130238411
Sales,CFY MDP Contribution,Q2,0.334069204
Sales,Previous FY MDP Contribution,Q2,0.356223105
Sales,MDP Contr. Diff vs FY-1 (ppts),Q2,-2.215390163
Salesforce Platform,Current FY MDP,Q2,"103,852,046.990669"
Salesforce Platform,% YoY,Q2,-0.096342561
Salesforce Platform,CFY MDP Contribution,Q2,0.304395197
Salesforce Platform,Previous FY MDP Contribution,Q2,0.309870700
Salesforce Platform,MDP Contr. Diff vs FY-1 (ppts),Q2,-0.547550286
Service,Current FY MDP,Q2,"367,512,009.013915"
Service,% YoY,Q2,0.073571777
Service,CFY MDP Contribution,Q2,0.320539879
Service,Previous FY MDP Contribution,Q2,0.334150259
Service,MDP Contr. Diff vs FY-1 (ppts),Q2,-1.361037975
Slack,Current FY MDP,Q2,"138,056,869.092671"
Slack,% YoY,Q2,0.693826568
Slack,CFY MDP Contribution,Q2,0.336360300
Slack,Previous FY MDP Contribution,Q2,0.367066670
Slack,MDP Contr. Diff vs FY-1 (ppts),Q2,-3.070637001
,Current FY MDP,Q3,
,% YoY,Q3,
,CFY MDP Contribution,Q3,
,Previous FY MDP Contribution,Q3,
,MDP Contr. Diff vs FY-1 (ppts),Q3,
AI and Data,Current FY MDP,Q3,
AI and Data,% YoY,Q3,
AI and Data,CFY MDP Contribution,Q3,
AI and Data,Previous FY MDP Contribution,Q3,
AI and Data,MDP Contr. Diff vs FY-1 (ppts),Q3,
Analytics,Current FY MDP,Q3,
Analytics,% YoY,Q3,
