"Dynamic Send: Asset Title","Archived Date","Product","Sub-Region","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry"
"AT_GFM_Agentforce Marketing_20-best-practices-marketing-optimization","6/2/2026","Marketing Cloud","Austria","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Austria","German","Customer; Prospect","MM; GB",""
"PL_GFM_Agentforce Marketing_1-1-personalization","6/2/2026","Marketing Cloud","CEE","","Agentforce Commerce; Commerce B2B; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Poland","English","Customer; Prospect","MM; GB; EBU",""
"SA_GFM_Agentforce Marketing_1-1-personalization","6/2/2026","Marketing Cloud","MDE","","Agentforce Commerce; Commerce B2B; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia","English","Customer; Prospect","MM; GB; EBU",""
"FI_GFM_Agentforce Marketing_1-1-personalization","6/2/2026","Marketing Cloud","Finland","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Finland","English","Prospect","MM; GB; EBU",""
"MDE_GFM_Agentforce Marketing_cdp-data-activation-guide","6/2/2026","Marketing Cloud","MDE","","Agentforce Commerce; Commerce B2B; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"GB_GFM_Health Cloud_4534960","6/9/2026","Marketing Cloud","UK","","Marketing Cloud","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","MM; GB",""
"IE_GFM_Health Cloud_4534960","6/9/2026","Marketing Cloud","Ireland","","Marketing Cloud","Shane Hudson","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"GB_GFM_Health Cloud_?d=pb","6/9/2026","Marketing Cloud","UK","","Marketing Cloud","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","MM; GB",""
"IE_GFM_Health Cloud_ehr-crm-whitepaper","6/9/2026","Marketing Cloud","UK","","Marketing Cloud","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","MM; GB",""
"IE_GFM_Health Cloud_?d=pb","6/9/2026","Marketing Cloud","Ireland","","Marketing Cloud","Shane Hudson","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"GB_GFM_Agentforce Marketing_2025-gartner-b2b-marketing-automation","6/2/2026","Marketing Cloud","UK","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"SE_GFM_Agentforce Marketing_2025-gartner-b2b-marketing-automation","6/2/2026","Marketing Cloud","Sweden","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Sweden","English","Customer; Prospect","MM; GB; EBU",""
"PL_GFM_Agentforce Marketing_2025-gartner-b2b-marketing-automation","6/2/2026","Marketing Cloud","CEE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Poland","English","Customer; Prospect","MM; GB; EBU",""
"FI_GFM_Agentforce Marketing_2025-gartner-b2b-marketing-automation","6/2/2026","Marketing Cloud","Finland","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Finland","English","Customer; Prospect","MM; GB; EBU",""
"IL_GFM_Agentforce Marketing_2025-gartner-b2b-marketing-automation","6/2/2026","Marketing Cloud","Israel","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Israel","English","Customer; Prospect","MM; GB",""
"NO_GFM_Agentforce Marketing_2025-gartner-b2b-marketing-automation","6/2/2026","Marketing Cloud","Norway","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Norway","English","Customer; Prospect","MM; GB; EBU",""
"BE_GFM_Agentforce Marketing_2025-gartner-b2b-marketing-automation","6/2/2026","Marketing Cloud","Belgium","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"GB_GFM_Agentforce Commerce_b2b-storefront-tour","6/2/2026","Agentforce Commerce","UK","","Commerce B2B","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"ZA_GFM_Agentforce Commerce_b2b-storefront-tour","6/2/2026","Agentforce Commerce","Africa","","Commerce B2B","Stephen Clarke","EMEA","South Africa","English","Customer; Prospect","MM; GB; EBU",""
"AT_GFM_Agentforce Marketing_2025-gartner-b2b-marketing-automation","6/2/2026","Marketing Cloud","Austria","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Austria","German","Customer; Prospect","MM; GB",""
"BE_GFM_Agentforce Commerce_b2b-storefront-tour","6/2/2026","Agentforce Commerce","Belgium","","Commerce B2B","Stephen Clarke","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"IE_GFM_Agentforce Commerce_b2b-storefront-tour","6/2/2026","Agentforce Commerce","Ireland","","Commerce B2B","Stephen Clarke","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"MDE_GFM_Agentforce Commerce_b2b-storefront-tour","6/2/2026","Agentforce Commerce","MDE","","Commerce B2B","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"SE_GFM_Agentforce Commerce_b2b-storefront-tour","6/2/2026","Agentforce Commerce","Sweden","","Commerce B2B","Stephen Clarke","EMEA","Sweden","English","Customer; Prospect","MM; GB; EBU",""
"IE_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","Ireland","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"GB_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","UK","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"IL_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","Israel","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Israel","English","Customer; Prospect","MM; GB; EBU",""
"IE_GFM_Agentforce Commerce_ecommerce-holiday-preparation","6/2/2026","Agentforce Commerce","Ireland","","Agentforce Commerce","Stephen Clarke","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"AT_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","Austria","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Austria","German","Customer; Prospect","MM; GB",""
"PL_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","CEE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Poland","English","Customer; Prospect","MM; GB; EBU",""
"GB_GFM_Agentforce Commerce_ecommerce-holiday-preparation","6/2/2026","Agentforce Commerce","UK","","Agentforce Commerce","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"MDE_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","MDE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"SE_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","Sweden","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Sweden","English","Customer; Prospect","MM; GB; EBU",""
"NO_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","Norway","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Norway","English","Customer; Prospect","MM; GB; EBU",""
"FI_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","Finland","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Finland","English","Customer; Prospect","MM; GB; EBU",""
"CH_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","Switzerland & Liechtenstein","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","MM; GB",""
"BE_GFM_Agentforce Marketing_gartner-multichannel-hubs-2025","6/2/2026","Marketing Cloud","Belgium","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Commerce Cloud_ecommerce-holiday-preparation","6/2/2026","Agentforce Commerce","MDE","","Agentforce Commerce","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"AT_GFM_Agentforce Marketing_agentforce-guide","6/2/2026","Marketing Cloud","Austria","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Austria","German","Customer; Prospect","MM; GB",""
"FR_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","France","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","France; Monaco","French","Customer; Prospect","MM; GB",""
"CH_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Switzerland & Liechtenstein","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","MM; GB",""
"ZA_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Africa","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Algeria; Angola; Benin; Botswana; Burkina Faso; Burundi; Cabo Verde; Cameroon; Central African Republic; Chad; Comoros; Congo; Congo, Democratic Republic of the; Côte d'Ivoire; Djibouti; Egypt; Equatorial Guinea; Eritrea; Eswatini; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea-Bissau; Kenya; Lesotho; Liberia; Libya; Madagascar; Malawi; Mali; Mauritania; Mauritius; Mayotte; Morocco; Mozambique; Namibia; Niger; Nigeria; Réunion; Rwanda; Senegal; Seychelles; Sierra Leone; Somalia; South Africa; Sudan; Tanzania; Togo; Tunisia; Uganda; Western Sahara; Zambia; Zimbabwe","English","Customer; Prospect","MM; GB; EBU",""
"IE_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Ireland","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"SE_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Sweden","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Sweden","English","Customer; Prospect","MM; EBU",""
"UK_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","UK","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","United Kingdom","English","Customer; Prospect","MM; GB",""
"IL_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Israel","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Israel","English","Customer; Prospect","MM; GB; EBU",""
"PL_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","CEE","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Estonia; Hungary; Poland; Romania","English","Customer; Prospect","MM; EBU",""
"MAE_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","MDE","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Qatar; Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; EBU",""
"NO_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Norway","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Norway","English","Customer; Prospect","MM; EBU",""
"FI_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Finland","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Finland","English","Customer; Prospect","MM; EBU",""
"DK_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Denmark","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Denmark","English","Customer; Prospect","MM; EBU",""
"DE_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Germany","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Germany","German","Customer; Prospect","MM; GB",""
"NL_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Netherlands","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Netherlands","Dutch","Customer; Prospect","MM; GB",""
"IT_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Italy","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Italy","Italian","Customer; Prospect","MM; EBU",""
"ES_GFM_Service_Cloud_crm-service-demo-field-service","4/27/2026","Agentforce Service","Spain","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Rob McGlanaghy","EMEA","Andora; Spain","Spanish","Customer; Prospect","MM; EBU",""
"IE_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","Ireland","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"IL_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","Israel","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Israel","English","Customer; Prospect","MM; GB; EBU",""
"PL_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","CEE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Poland","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","MDE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"FI_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","Finland","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Finland","English","Customer; Prospect","MM; GB; EBU",""
"SE_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","Sweden","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Sweden","English","Customer; Prospect","MM; GB; EBU",""
"NO_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","Norway","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Norway","English","Customer; Prospect","MM; GB; EBU",""
"CH_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","Switzerland & Liechtenstein","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","MM; GB",""
"BE_GFM_Agentforce Marketing_state-of-marketing-10","6/2/2026","Marketing Cloud","Belgium","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"GB_GFM_Agentforce Commerce_b2b-sales-wins-with-digital-commerce-form","6/2/2026","Agentforce Commerce","UK","","Commerce B2B","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"IE_GFM_Agentforce Commerce_b2b-sales-wins-with-digital-commerce-form","6/2/2026","Agentforce Commerce","UK","","Commerce B2B","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"ZA_GFM_Agentforce Commerce_b2b-sales-wins-with-digital-commerce-form","6/2/2026","Agentforce Commerce","Africa","","Commerce B2B","Stephen Clarke","EMEA","South Africa","English","Customer; Prospect","MM; GB; EBU",""
"SE_GFM_Agentforce Commerce_b2b-sales-wins-with-digital-commerce-form","6/2/2026","Agentforce Commerce","Sweden","","Commerce B2B","Stephen Clarke","EMEA","Sweden","English","Customer; Prospect","MM; GB; EBU",""
"BE_GFM_Agentforce Commerce_b2b-sales-wins-with-digital-commerce-form","6/2/2026","Agentforce Commerce","Belgium","","Commerce B2B","Stephen Clarke","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Agentforce Commerce_forrester-tei-b2c-commerce-oms","6/2/2026","Agentforce Commerce","MDE","","Agentforce Commerce; Agentforce Consumer Goods; Agentforce Retail","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Agentforce Commerce_gartner-digital-commerce-mq","6/2/2026","Agentforce Commerce","MDE","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Consumer Goods; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Retail; Commerce B2B","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Agentforce Commerce_state-of-commerce","6/2/2026","Agentforce Commerce","MDE","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Consumer Goods; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Retail; Commerce B2B","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"MDE_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","MDE","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Saudi Arabia; United Arab Emirates","English","Customer; Prospect","MM; GB; EBU",""
"FI_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Finland","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Finland","English","Customer; Prospect","MM; GB; EBU",""
"DK_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Denmark","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Denmark; Faroe Islands; Greenland","English","Customer; Prospect","MM; GB; EBU",""
"GB_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","UK","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"IE_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Ireland","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"SE_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Sweden","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Sweden","English","Customer; Prospect","MM; GB; EBU",""
"ZA_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Africa","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","South Africa","English","Customer; Prospect","MM; GB; EBU",""
"PL_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","CEE","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Poland","English","Customer; Prospect","MM; GB; EBU",""
"BE_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Belgium","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"NO_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Norway","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Norway","English","Customer; Prospect","MM; GB; EBU",""
"CH_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Switzerland & Liechtenstein","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","MM; GB",""
"IL_GFM_Agentforce Commerce_the-new-era-of-agentic-b2b-growth","4/29/2026","Agentforce Commerce","Israel","","Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Revenue Management; Commerce B2B","Stephen Clarke","EMEA","Israel","English","Customer; Prospect","MM; GB; EBU",""
"Q1 EMEA Webinar Program - Agentforce - France","4/15/2026","Agentforce","France","","Agentforce; Agentforce Automotive; Agentforce Commerce; Agentforce Communications; Agentforce Consumer Goods; Agentforce Education; Agentforce Energy & Utilities; Agentforce Field Service; Agentforce Financial Services; Agentforce Health; Agentforce Manufacturing; Agentforce Media; Agentforce Net Zero; Agentforce Nonprofit; Agentforce Public Sector; Agentforce Retail; Agentforce Revenue Management; Agentforce Sales; Agentforce Service","Dolores Kinika","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB",""
"Q1 EMEA Webinar Program - Sales - France","4/16/2026","Agentforce Sales","France","","Agentforce; Agentforce Revenue Management; Agentforce Sales; Sales Cloud Essentials; Sales Cloud PRM","Dolores Kinika","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB",""
"Q1 EMEA Webinar Program - Platform - France","4/16/2026","Platform","France","","Platform","Dolores Kinika","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB",""
"Q1 EMEA Webinar Program - Service - France","4/16/2026","Agentforce Service","France","","Agentforce; Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Dolores Kinika","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB",""
"Q1 EMEA Webinar Program - Commerce - France","4/16/2026","Agentforce Commerce","France","","Agentforce Commerce; Commerce B2B","Dolores Kinika","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB",""
"Q1 EMEA Webinar Program - Marketing - France","4/17/2026","Marketing Cloud","France","","Agentforce; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Dolores Kinika","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB",""
"Q1 EMEA Webinar Program - Data 360 - France","4/17/2026","Data 360","France","","Data 360; Multi-Product; Salesforce Customer 360","Dolores Kinika","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB",""
"GB_GFM_Agentforce Marketing_new-marketing-blueprint","4/30/2026","Marketing Cloud","UK","","Agentforce Revenue Management; Agentforce Sales; Agentforce Service; High Velocity Sales; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence; Sales Cloud Essentials; Sales Cloud PRM; Salesforce CPQ; Sales Performance Management; Service Cloud Essentials; SPIFF","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"PL_GFM_Agentforce Marketing_new-marketing-blueprint","4/30/2026","Marketing Cloud","CEE","","Agentforce Revenue Management; Agentforce Sales; Agentforce Service; High Velocity Sales; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence; Sales Cloud Essentials; Sales Cloud PRM; Salesforce CPQ; Sales Performance Management; Service Cloud Essentials; SPIFF","Stephen Clarke","EMEA","Poland","English","Customer; Prospect","MM; GB; EBU",""
"IE_GFM_Agentforce Marketing_new-marketing-blueprint","4/30/2026","Marketing Cloud","Ireland","","Agentforce Revenue Management; Agentforce Sales; Agentforce Service; High Velocity Sales; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence; Sales Cloud Essentials; Sales Cloud PRM; Salesforce CPQ; Sales Performance Management; Service Cloud Essentials; SPIFF","Stephen Clarke","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
